名称,名称(英語),カテゴリ,カテゴリ補足,ジャンル,ジャンル,ジャンル,ジャンル,季節,場所,郵便番号,都道府県名,市区町村名,行政区名,住所,住所(かな),緯度,経度,説明(日本語),説明(英語),電話番号,FAX番号,営業時間,開所時刻,閉所時刻,定休日,利用料金,画像URL,画像URL,画像URL,サムネイル画像URL,ホームページアドレス,創設日,創設者,所在地（基本、名称と同じもの）,名称(中国語簡体字),説明(中国語簡体字),名称(中国語繁体字),説明(中国語繁体字),名称(韓国語),説明(韓国語),名称(ポルトガル語),説明(ポルトガル語),標準地域コード
Sloeberry,"",観光,おみやげ銘菓,買う,"","","","","","","","","",鯖江市水落町２丁目28-25,"",35.963919,136.185895,フルーツ専門店プロデュースのスイーツ＆自然派カフェ。1階には、生ジュースコーナーがあり、地元農家から直接仕入れた新鮮な野菜果物を絞って野菜ソムリエおすすめの一品を味わえます。２階のカフェでは、体を考えた野菜たっぷりのベジタブルランチがお勧めです。こちらは、成人が一日に必要な野菜の量350gの半分の量が採れるように、季節の野菜を盛りだくさんに使ったプレートランチです。,"",0778-25-0141,"",10：00〜18：30 （17：00 L.O),10:00:00,18:30:00,水曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_shopping_214.jpg,"","","","","","",Sloeberry,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
のだや餅店,"",観光,おみやげ銘菓,食べる,買う,"","","","","","","","",鯖江市本町４丁目3-22,"",35.949442,136.185459,鯖江の街なか商店街にある地元に愛されるお餅屋さん。注文を受けてから作ってくれる「あべかわ餅」は、やわらかなお餅にきなこと黒蜜がたっぷりかかっておすすめの絶品。また、店内は食堂になっており、食事もできます。,"",0778-51-0277,"",9：30〜18：00,09:30:00,18:00:00,火曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_shopping_215.jpg,"","","","","","",のだや餅店,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
よしむらのおかき,"",観光,おみやげ銘菓,買う,"","","","","","","","","",福井県鯖江市北野町17−3−1,"",35.982892,136.180716,福井の代表的なおみやげのひとつです。地元の人たちにも人気の商品で、店内には数十種類のおかきがずらりと並んでいます。『得助さん　サラダ鬼っ子』は一番人気商品で、ほどよく効いた塩味がお米の味を引き立てます。,"",0778-51-1168,"",9：00〜17：00,09:00:00,17:00:00,年始,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_shopping_216.jpg,"","","",http://yoshimuraokaki.jp/,"","",よしむらのおかき,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
安価堂,"",観光,おみやげ銘菓,買う,食べる,"","","","","","","","",鯖江市神中1丁目2-15,"",35.968807,136.195615,昭和元年創業の歴史ある和菓子屋さん。旬の素材を使った四季折々のお菓子が自慢です。無添加のやさしい甘さの和菓子をどうぞ。西山公園のレッサーパンダが刻印された「パンダどらやき」大きな栗がまるごと一個入っていてボリュームたっぷり。小倉あん、柚子あん、栗入りの３種があります。,"",0778-51-1235,"",9:00〜19:00,09:00:00,19:00:00,月曜日（祝日の場合は営業）,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_shopping_217.jpg,"","","","","","",安価堂,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
久保田酒店,"",観光,その他,買う,"","","","","","","","","",鯖江市旭町1-1-4,"",35.943508,136.18776,ハピライン鯖江駅前すぐにある酒店です。鯖江の酒「梵」をはじめ、志を同じくする四件の蔵元のお酒を本醸造から純米大吟醸まで取り揃えています。また、越前焼の酒器やお酒アイス、お酒ケーキなど、お酒を楽しむための商品もたくさんあります。,"",0778-51-0252,"",9：00〜19:30,09:00:00,19:30:00,日曜日（連休の場合は最終日）,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_shopping_953.jpg,"","","",https://www.kubotasaketen.jp/,"","",久保田酒店,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
加藤吉平商店,"",観光,その他,買う,"","","","","","","","","",鯖江市吉江町1-11,"",35.986403,136.170193,創業万延元年。両替商・庄屋だった先祖が日本酒製造を始めて、現在１１代目となる老舗で、無添加の純米酒のみを造り続ける、鯖江が誇る酒蔵です。銘柄「梵」「日本の翼」は、日本国の重要な席をはじめ、政府専用機の正式機内酒となっていて、ＪＡＬ国際線・国内線ファーストクラスでは超ＶＩＰ用として採用されています。「梵」は、現在世界９０数ヶ国で正式商標登録されていて、そのうち３０数ヶ国以上に輸出されているなど、国内から世界中に日本の酒文化を発信し続けています。,"",0778-51-1507,"",9：00〜18：30,09:00:00,18:30:00,日曜日・祝日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_shopping_954.jpg,"","","",http://www.born.co.jp/,"","",加藤吉平商店,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
鯖江菓子工房Yamahatsu（やまはつ）,"",観光,スイーツ,食べる,"","","","","","","","","",鯖江市北野町２丁目19-20,"",35.966828,136.180464,「おいしい幸せ、鯖江から・・・」を発信し続けるお菓子屋さん。地元で人気の「スフレロール」は、独自の製法で焼き上げたふわふわのスポンジと上品な甘さのクリームがマッチしていくらでも食べれそう。プレーン、抹茶、チョコの三種の味に加えて、春はにイチゴなど、季節限定の味が楽しめます。,"",0778-51-1162,"",9：00〜18:30（日曜18:00まで）,09:00:00,18:30:00,火曜日（祝日の場合は翌日）,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_011.jpg,"","","",https://yamahatsu.style,"","",鯖江菓子工房Yamahatsu,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
スイーツ＆カフェ　Ｂｌａｎｃ（ぶらん）,"",観光,スイーツ,食べる,"","","","","","","","","",鯖江市丸山町2丁目7-13,"",35.98379,136.183565,浅水川沿いの住宅街に建つ、隠れ家風のカフェ。ここは同じ鯖江市内にある「鯖江菓子工房Yamahatsu」が2010年にオープンしたカフェ。Yamahatsuのスイーツはもちろん、カフェだけのデザートメニューも楽しめる。ゆったりとした空間で、贅沢の時間を過ごしてみては。,"",0778-42-8575,"",【ケーキ販売】　10：00〜19：30【カフェ】8：00〜19：30,10:00:00,19:30:00,火曜日（祝日の場合は営業）,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_012.jpg,"","","","","","",スイーツ＆カフェ　Ｂｌａｎｃ,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
Little Deco(リトル・デコ）,"",観光,スイーツ,食べる,"","","","","","","","","",鯖江市宮前２丁目18-5,"",35.932194,136.187135,サンドーム福井近くにあるヨーロッパ調のすてきな外観のケーキやさん。店内には、生菓子から焼き菓子、デコレーションケーキなど、パティシエが心を込めて作ったお菓子が並びます。店内のカフェスペースで食べることもできます。,"",0778-51-7212,"",10：00〜18:30（日曜日は18:00まで）,10:00:00,18:30:00,月曜日、毎月第２火曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_014.jpg,"","","","","","",Little Deco,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
ヨーロッパン･キムラヤ,"",観光,パン,食べる,"","","","","","","","","",鯖江市旭町2-3-20,"",35.946183,136.187179,日本で１番堅いパン「軍隊堅麺麭（ぐんたいかたぱん）」大東亜戦争中当時、鯖江連帯の兵隊さんが当店で軍人用のパンを焼いていたものをそのまま復元！とても堅いのでかなづち等で割ってほおばってください。保存食にも最適です。ケーキショップのようにショーケースにパンが並び、スタッフとの会話を通した販売スタイルで、お客さんの好みにぴったり合ったパンを選んでくれたり、美味しい食べ方を教えてくれます。,"",0778-51-0502,"",9：30〜18：00,09:30:00,18:00:00,日・月,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_135.jpg,"","","","","","",ヨーロッパン･キムラヤ,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
ベーカリーショップ上坂,"",観光,パン,食べる,"","","","","","","","","",鯖江市 屋形町3-3,"",35.943977,136.183156,鯖江で昔から愛されるパン屋さん。懐かしい美味しさに出会える。,"",0778-52-7864,"",7：30〜18:30,07:30:00,18:30:00,日・月,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_203.jpg,"","","","","","",ベーカリーショップ上坂,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
ブーランジュリー　ル・パン,"",観光,パン,食べる,"","","","","","","","","",鯖江市丸山町2-7-1,"",35.983277,136.184966,真っ赤な屋根が一際目を引く、さばえの人気パン屋さん。,"",0778-52-5726,"",7：00〜19：00,07:00:00,19:00:00,日・月,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_204.jpg,"","","","","","",ブーランジュリー　ル・パン,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
琥八（こはち）,"",観光,パン,食べる,"","","","","","","","","",鯖江市西山町613,"",35.9531239,136.1833754,安心でおいしいパンを届けたいと極力添加物を使用しない商品を提供しているパン屋さん。,"",0778-52-2390,"",9:30〜18:00（火〜金）8:30〜17:00（土）,08:30:00,18:00:00,日・月,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_205.jpg,"","","",http://ameblo.jp/vitreous/,"","",琥八（こはち）,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
マツヤベーカリー,"",観光,パン,食べる,"","","","","","","","","",鯖江市丸山町１丁目３０５,"",35.979679,136.179187,お惣菜パンの種類が豊富で、どれもおいしいと人気です。マツヤベーカリージャムおじさんが出迎えてくれるよ。,"",0778-51-1433,"",7：30〜19:30（土曜日は19:00まで）,07:30:00,19:30:00,日曜日・祝日（祝日が土曜日の場合は営業）,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_206.jpg,"","","","","","",マツヤベーカリー,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
お食事の店　味見屋,"",観光,和食,食べる,"","","","","","","","","",鯖江市本町2丁目2-19,"",35.946023,136.185214,鯖江の街なかにある100年以上続く老舗食堂。メニューのどれもが懐かしい味で、優しい味わいは母の味のようです。人気メニューは「カレーうどん」。おなかが空いたらぜひ立ち寄ってください。,"",0778-51-0449,"",10：30〜14:30、16:30〜20:00（LO.19:30）,10:30:00,20:00:00,木曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_301.jpg,"","","","","","",お食事の店　味見屋,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
ヨーロッパ軒　神明分店,"",観光,和食,食べる,"","","","","","","","","",鯖江市水落町1丁目12-21,"",35.962791,136.175934,越前カニ、越前そばに並ぶ福井の名物ソースカツ丼の老舗。創業は大正時代で、初代高畠増太郎氏がソースカツ丼を考案。やわらかジューシーなトンカツに、ウスターソースがベースの特製ソースそたっぷり絡めたご飯が食欲をそそります。福井県内に約20店舗展開し、各店独自のメニューがある。,"",0778-52-2582,"",11:00〜15:00、17:00〜20:00（木・日）、11:00〜15:00（月〜水）,11:00:00,20:00:00,火曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_302.jpg,"","","",https://yo-roppaken.gourmet.coocan.jp,"","",ヨーロッパ軒　神明分店,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
富士屋会館,"",観光,和食,食べる,"","","","","","","","","",鯖江市桜町２丁目２-２２,"",35.945368,136.180041,西山公園近くにあり、婚礼、宴会、法事など様々対応してくれます。,"",0778-51-4618,"",10：00〜20：00,10:00:00,20:00:00,火曜日 ,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_303.jpg,"","","",https://www.fujiya.info,"","",富士屋会館,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
釜めし専門店　釜蔵,"",観光,和食,食べる,"","","","","","","","","",鯖江市柳町4-521,"",35.947856,136.193048,福井県産コシヒカリと日本海の旬な素材を活かした釜めしの専門店。注文を受けてから炊き上げるので、ご飯はふっくら炊きたてを味わえます。釜めしならではのおこげも香ばしくて美味しいです。,"",0778-52-2846,"","11:00〜14:00、17:00〜21:00（LO.20:30）（月〜金）
11:00〜15:00、17:00〜21:00（LO.20:30）（土・日・祝）",11:00:00,21:00:00,木曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_304.jpg,"","","",http://www.kamameshi.net/,"","",釜めし専門店　釜蔵,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
わらび　鯖江店,"",観光,居酒屋料亭,食べる,"","","","","","","","","",鯖江市小黒町1-5-16,"",35.951044,136.176349,旬の魚と旨い酒が味わえる居酒屋。新鮮なお刺身や、海鮮料理な豊富なメニューを揃えています。,"",050-5494-6724,"",17：00〜00:00（日〜木）、17:00〜1:00（金・土）,17:00:00,01:00:00,月曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_401.jpg,"","","",http://warabi-group.com/warabi/,"","",わらび　鯖江店,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
當田屋,"",観光,居酒屋料亭,食べる,"","","","","","","","","",鯖江市本町1-4-10,"",35.945179,136.184444,鯖江のまちなかにある老舗料亭。元気の良い若女将が迎えてくれます。旬の食材を使った料理はもちろん、器にもこだわった趣あるお店です。,"",0778-51-2877,"",11：00〜22:00,11:00:00,22:00:00,第１・３日曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_402.jpg,"","","",https://toudeya.jp,"","",當田屋,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
やきとりの名門　秋吉　鯖江店,"",観光,居酒屋料亭,食べる,"","","","","","","","","",鯖江市横江2-302,"",35.94276,136.193016,福井県は、実は焼き鳥消費量全国No1。それを支えるのが、全国に約120店を展開する秋吉で、福井には約30店舗ある。毎日一本一本手作りされる串を、じっくり炭火焼にして秘伝のタレを絡めた焼き鳥は、一般的なものよりは少し小ぶりで一人前は5本から。お店に入れば、男性なら「社長！」、女性なら「お嬢さん！」と威勢のいい掛け声が出迎えてくれる。持ち帰りも出来る。,"",0778-51-7000,"",17：00〜22:00（月〜土）、16:30〜21:30（日・祝）,17:00:00,22:00:00,火曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/g-244.gif,"","","",https://www.akiyoshi.co.jp/m/shop/shop_details/fukui/sabae.html,"","",やきとりの名門　秋吉　鯖江店,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
やきとりの名門　秋吉　神明店,"",観光,居酒屋料亭,食べる,"","","","","","","","","",鯖江市三六町１丁目13-8,"",35.969939,136.175935,福井県は、実は焼き鳥消費量全国No1。それを支えるのが、全国に約120店を展開する秋吉で、福井には約30店舗ある。毎日一本一本手作りされる串を、じっくり炭火焼にして秘伝のタレを絡めた焼き鳥は、一般的なものよりは少し小ぶりで一人前は5本から。お店に入れば、男性なら「社長！」、女性なら「お嬢さん！」と威勢のいい掛け声が出迎えてくれる。持ち帰りも出来る。,"",0778-52-2580,"",17:00〜22:00（平日）、17:00〜22:30（金）、16:30〜22:30（土）、16:00〜21:30（日・祝）,17:00:00,22:30:00,水曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/g-244.gif,"","","",https://www.akiyoshi.co.jp/m/shop/shop_details/fukui/shinmei.html,"","",やきとりの名門　秋吉　神明店,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
当り矢,"",観光,居酒屋料亭,食べる,"","","","","","","","","",鯖江市三六町2丁目1-3,"",35.972354,136.180158,幅広いメニューを揃えている居酒屋さん。もともと食堂だったので、定食メニューも豊富。ランチの日替わり定食は、ボリュームたっぷりでお得なセットでおすすめです。,"",0778-51-1160,"",17:30〜23:00,11:00:00,23:00:00,火曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_406.jpg,"","","","","","",当り矢,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
渕上食堂,"",観光,居酒屋料亭,食べる,"","","","","","","","","",鯖江市新横江2丁目5-2,"",35.941575,136.198386,住宅街のなかにある隠れ家的なお店で、焼肉から、居酒屋料理、新鮮な刺身など豊富なメニューを取り揃えている。,"",050-5869-7978,"","11:00〜13:30、17:00〜00:00（LO.23:00）（月〜金）
17:00〜00:00（LO.23:00）（土・日）",17:00:00,00:00:00,火曜日（祝前日の場合は営業）,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_407.jpg,"","","","","","",渕上食堂,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
かんきち,"",観光,居酒屋料亭,食べる,"","","","","","","","","",鯖江市三六町1-14-6,"",35.971177,136.176399,水産会社直営ならではの新鮮なお寿司と居酒屋メニューが人気のお店。質のいい活魚や刺身、寿司などの海の幸やステーキ、おろしそばなどたっぷり欲張りなプランもある。,"",0778-51-2210,"",11:30〜13:30、17:30〜22:00（金・土・祝前日は22:30）,11:30:00,22:30:00,火曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_408.jpg,"","","",https://www.kankichi.info/kankichi/shop,"","",かんきち,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
割烹よしのり,"",観光,居酒屋料亭,食べる,"","","","","","","","","",鯖江市丸山町１丁目3-13,"",35.980542,136.179754,四季折々の美味しい食材をふんだんに使った料理を楽しめるお店。会席料理なども対応してくれるので、冠婚葬祭や会合など様々な用途にあわせてご利用いただけます。,"",0778-51-8232,"",11：00〜13:30、17：00〜21：30,11:00:00,21:30:00,水・木（毎月2回ずつお休み）,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_409.jpg,"","","",https://www.kappo-yosinori.com,"","",割烹よしのり,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
豚ちんかん,"",観光,居酒屋料亭,食べる,"","","","","","","","","",鯖江市三六町1-14-7,"",35.970872,136.176053,美味しい豚料理を低価格で食べられるお店。しゃぶしゃぶや串揚げ、石焼きなど、様々な食べ方で旨い豚肉を味わえる。,"",0778-52-0630,"",18:00〜23:00（日〜木・祝）18:00〜24:00（金・土・祝前日）,18:00:00,00:00:00,火曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_410.jpg,"","","","","","",豚ちんかん,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
藤の家,"",観光,居酒屋料亭,食べる,"","","","","","","","","",鯖江市旭町2丁目2-4,"",35.945165,136.18726,さばえのまちなかの石畳通りにたたずむ趣ある老舗料亭。明るい女将さんがあたたかく迎えてくれます。店内は個室と大広間の予約制で、ゆったりと四季折々のこだわりの料理をお楽しみいただけます。,"",0778-51-0331,"",要予約,"","",不定休,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_412.jpg,"","","","","","",藤の家,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
料亭　中松,"",観光,居酒屋料亭,食べる,"","","","","","","","","",鯖江市旭町１丁目５-３,"",35.944464,136.187231,かつての花街の面影を感じる、閑静な石畳小路に佇む料亭。四季折々の食材を、季節感、客の好み、会の趣向等によってアレンジしてくれる。落ち着いた個室でゆったりと、意匠をこらした美味料理を味わってみては。,"",0778-51-0403,"",11：30〜22：00,11:30:00,22:00:00,第1、3日曜日（予約があれば営業）,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_414.jpg,"","","",http://www.nakamatu.com,"","",料亭　中松,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
ほおずき,"",観光,寿司,食べる,"","","","","","","","","",鯖江市東鯖江1-4-21,"",35.945302,136.196227,市場で仕入れる鮮度のいい北陸の魚と、こうのとりの飛んでくる白山で作られるお米が自慢。おいしいシャリのお寿司は是非味わって頂きたい逸品です。また、焼き鳥や唐揚げなど居酒屋メニューも揃っています。お店のブログでは、仕入れた食材やおいしそうなものが紹介されていて要チェックです。,"",0778-51-6160,"",16:00〜22:30（LO.22:00）（月〜土）16:00〜22:00（日）,16:00:00,22:30:00,火曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_415.jpg,"","","","","","",ほおずき,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
勇寿し,"",観光,寿司,食べる,"","","","","","","","","",鯖江市日の出町５−２４,"",35.943324,136.186364,越前漁港で直に見極めて仕入れた新鮮な魚を味わえるお店。コメは福井県の契約農家から直接購入している。なんとお店のホームページで、おすすめのネタを毎日更新しているので、行く前に確認することができる。価格も良心的でリピーターのお客さんも多いとか。,"",0778-51-0452,"",17:30〜22:00（最終入店21:00LO.21:30）昼は前日までのご予約のみの営業,17:30:00,22:00:00,月曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_417.jpg,"","","",https://www.osushi.jp,"","",勇寿し,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
すし処　よかろ,"",観光,寿司,食べる,"","","","","","","","","",鯖江市有定3丁目2-9,"",35.948192,136.176533,鯖江で長年愛される魚屋直営の回転寿司。自慢の「中トロ」をはじめ、「マグロの目玉の煮付け」など稀少なネタも食べられる。和室もあるので、宴会にも対応してくれる。,"",0778-53-0460,"","11:00〜14:30（LO.14:15）17:00〜22:00（LO.21:30）（月〜金）
11:00〜15:00（LO.14:45）16:00〜22:00（LO.21:30）（土・日・祝）",11:00:00,22:00:00,木曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_418.jpg,"","","","","","",すし処　よかろ,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
海鮮アトム　鯖江店,"",観光,寿司,食べる,"","","","","","","","","",鯖江市柳町4-714　,"",35.948919,136.193352,福井で長年愛される回転寿司、海鮮アトム。産地や漁法まで吟味して魚を選ぶ。特に地元の味にはこだわりを持っており、厳選された食材を味わうことができる。毎日ネタによって変わるオススメメニューは要チェックです。,"",0778-54-0345,"",11:00〜22:00,11:00:00,22:00:00,年中無休,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_419.jpg,"","","",http://www.atom-corp.co.jp/brand/brand.php?brand_no=76,"","",海鮮アトム　鯖江店,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
そば処　二男坊,"",観光,そば,食べる,"","","","","","","","","",鯖江市吉江町512,"",35.984794,136.174415,石臼で挽いた福井県産のそばを提供するお店。そば以外のメニューやセットも豊富です。,"",0778-51-4015,"",11：00〜20：00,11:00:00,20:00:00,火曜(祝日の場合営業）,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_421.jpg,"","","","","","",そば処　二男坊,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
漆里庵,"",観光,そば,食べる,"","","","","","","","","",鯖江市片山町7-1-1,"",35.951391,136.274227,そば職人には珍しい女性そば職人が腕をふるう創業25年のお店。女性職人ならではの、硬くてコシがあるだけでなくソフトな歯ざわりのよい蕎麦が味わえます。福井名物のおろし蕎麦や、女性に人気の納豆そば、玉子カツ丼もシンプルに美味しいと人気です。,"",0778-65-0314,"",11：00〜19：00,11:00:00,19:00:00,月曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_422.jpg,"","","",http://shiturian.web.fc2.com/,"","",漆里庵,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
蕎麦　旨酒　亀蔵,"",観光,そば,食べる,"","","","","","","","","",鯖江市東鯖江1-1-3 MM6ﾋﾞﾙ1F,"",35.943449,136.19441,福井県産のそば粉を丁寧に手打ちした十割そばと、地酒や焼酎などの旨い酒や、酒に合わせた豊富な一品メニューを楽しめるお店。こだわりのかきあげは、小エビと貝柱ふんだんに入れてボリュームたっぷりの厚み。木の香りが漂う居心地のいい店内は、カウンター席、テーブル席、座敷があります。,"",0778-42-8199,"",11：00〜15:00、18：00〜21：30（夜営業は土・日・祝のみ）,11:00:00,21:30:00,火曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_423.jpg,"","","",https://www.soba-kamezou.jp/shop,"","",蕎麦　旨酒　亀蔵,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
おはぐろ　そば処・惣平,"",観光,そば,食べる,"","","","","","","","","",鯖江市吉江町18-31-4,"",35.984362,136.171805,鯖江産の蕎麦の実を自作の石臼で挽いたあらびきの蕎麦。昔懐かしいあらびきの家蕎麦を味わえます。福井伝統のおろし蕎麦をぜひ味わってみてください。,"",0778-52-0896,"",11：30〜14：00、17：00〜20：00,11:30:00,20:00:00,日曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_424.jpg,"","","","","","",おはぐろ　そば処・惣平,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
聴琴亭,"",観光,そば,食べる,"","","","","","","","","",鯖江市下新庄町63-44,"",35.933136,136.212371,おすすめは、聴琴そば。竹筒の器に３種の冷そば（おろしそば・山かけそば・ざるそば）と温そば（あんかけうどん）、お刺身がセットになっています。豪華なお膳で、大名気分が味わえますよ。,"",0778-52-7514,"",11:00〜14:00,11:00:00,14:00:00,火曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_037.jpg,"","","",http://www.choukintei.jp/,"","",聴琴亭,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
タベルナ・ソリッゾ,"",観光,洋食,食べる,"","","","","","","","","",鯖江市有定町3丁目2-28,"",35.947767,136.176912,こだわりのパスタが自慢のイタリアン。料理を越前漆器で出してもらうこともでき、地元の人にも人気があります。おしゃれで居心地のいいお店です。,"",0778-51-9703,"",ランチ11：30〜14：00/ディナー17：30〜21：00,11:30:00,21:00:00,火曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_501.jpg,"","","","","","",タベルナ・ソリッゾ,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
メゾン･ド・レトワール,"",観光,洋食,食べる,"","","","","","","","","",鯖江市桜町2丁目6-12,"",35.947349,136.181288,世界料理オリンピック銅メダルのカリスマシェフが総料理長が作る、ネット通販で16万個以上を完売したという大評判の「マンゴーの王様プリン」や焼き菓子などのスイーツが有名でお土産におすすめです！,"",0778-52-1102,"",9:30〜18:00（月〜土）9:30〜17:00（日・祝）,09:30:00,18:00:00,年中無休,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_505.jpg,"","","","","","",メゾン･ド・レトワール,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
ガッタ・ネーラ,"",観光,洋食,食べる,"","","","","","","","","",鯖江市幸町2丁目505−2,"",35.977685,136.181342,落ち着いた雰囲気で食事が楽しめる本格的イタリアン。ボリュームたっぷりでお得なランチセットが人気です。,"",0778-53-1151,"",11:00〜14:00、 18:00〜21:00,11:00:00,21:00:00,月曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_507.jpg,"","","","","","",ガッタ・ネーラ,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
８番らーめん　鯖江東店,"",観光,中華ラーメン,食べる,"","","","","","","","","",鯖江市東鯖江1-112,"",35.957872,136.176009,昭和42年国道8号線沿いの田んぼの真ん中に、掘っ立て小屋同然の粗末な店構えのラーメン店から始まったという８番ラーメン。今では北陸地方を中心に、関西圏、そして海外でも展開し、約250店の店舗数を誇る。福井人にとっては、小さい頃から食べ親しんだとっても馴染み深い味。8番印のなるとがトレードマーク。,"",0778-51-9688,"",11:00〜23:00（LO.22:45）,11:00:00,23:00:00,年中無休,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_gourmet_509.jpg,"","","",https://www.hachiban.jp/shop/fukui/,"","",８番らーめん　鯖江東店,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
